数据年月,商品编码,商品名称,美元
202502,1,第1章   活动物,8288013.0
202502,2,第2章   肉及食用杂碎,1716668400.0
202502,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,1300244946.0
202502,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,743582735.0
202502,5,第5章   其他动物产品,88925706.0
202502,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,12404907.0
202502,7,第7章   食用蔬菜、根及块茎,175387533.0
202502,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,1372426174.0
202502,9,第9章   咖啡、茶、马黛茶及调味香料,169785534.0
202502,10,第10章  谷物,458325315.0
202502,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,195299373.0
202502,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,3349527267.0
202502,13,第13章  虫胶；树胶、树脂及其他植物液、汁,30860282.0
202502,14,第14章  编结用植物材料；其他植物产品,26373908.0
202502,15,动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,962047835.0
202502,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,59723195.0
202502,17,第17章  糖及糖食,58380119.0
202502,18,第18章  可可及可可制品,122831550.0
202502,19,第19章  谷物、粮食粉、淀粉或乳的制品；糕饼点心,420962271.0
202502,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,150041317.0
202502,21,第21章  杂项食品,508767352.0
202502,22,第22章  饮料、酒及醋,307912920.0
202502,23,第23章  食品工业的残渣及废料；配制的动物饲料,461213625.0
202502,24,第24章  烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,407776131.0
202502,25,第25章  盐；硫磺；泥土及石料；石膏料、石灰及水泥,882744197.0
202502,26,第26章  矿砂、矿渣及矿灰,20097028085.0
202502,27,第27章  矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,35447353033.0
202502,28,第28章  无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,968270310.0
202502,29,第29章  有机化学品,3877592728.0
202502,30,第30章  药品,2980840802.0
202502,31,第31章  肥料,377721554.0
202502,32,第32章  鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,396886933.0
202502,33,第33章  精油及香膏；芳香料制品及化妆盥洗品,1240026157.0
202502,34,第34章  肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,409144567.0
202502,35,第35章  蛋白类物质；改性淀粉；胶；酶,336131514.0
202502,36,第36章  炸药；烟火制品；引火合金；易燃材料制品,10937256.0
202502,37,第37章  照相及电影用品,292955219.0
202502,38,第38章  杂项化学产品,1846526035.0
202502,39,第39章  塑料及其制品,4819991671.0
202502,40,第40章  橡胶及其制品,1704461601.0
202502,41,第41章  生皮（毛皮除外）及皮革,230221318.0
202502,42,第42章  皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,420090183.0
202502,43,第43章  毛皮、人造毛皮及其制品,9076652.0
202502,44,第44章  木及木制品；木炭,1265804058.0
202502,45,第45章  软木及软木制品,3072084.0
202502,46,第46章  稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,1972180.0
202502,47,第47章  木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,2018764012.0
202502,48,第48章  纸及纸板；纸浆、纸或纸板制品,513944848.0
202502,49,第49章  书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,140598517.0
202502,50,第50章  蚕丝,5855217.0
202502,51,第51章  羊毛、动物细毛或粗毛；马毛纱线及其机织物,152200329.0
202502,52,第52章  棉花,495442339.0
202502,53,第53章  其他植物纺织纤维；纸纱线及其机织物,62117167.0
202502,54,第54章  化学纤维长丝；化学纤维纺织材料制扁条及类似品,136800604.0
202502,55,第55章  化学纤维短纤,111565886.0
202502,56,第56章  絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,84417749.0
202502,57,第57章  地毯及纺织材料的其他铺地制品,6249293.0
202502,58,第58章  特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,20102506.0
202502,59,第59章  浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,95167949.0
202502,60,第60章  针织物及钩编织物,39472591.0
202502,61,第61章  针织或钩编的服装及衣着附件,301427218.0
202502,62,第62章  非针织或非钩编的服装及衣着附件,428987870.0
202502,63,第63章  其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,23679703.0
202502,64,第64章  鞋靴、护腿和类似品及其零件,466847870.0
202502,65,第65章  帽类及其零件,14621852.0
202502,66,第66章  雨伞、阳伞、手杖、鞭子、马鞭及其零件,494458.0
202502,67,第67章  已加工羽毛、羽绒及其制品；人造花；人发制品,122062207.0
202502,68,第68章  石料、石膏、水泥、石棉、云母及类似材料的制品,145469450.0
202502,69,第69章  陶瓷产品,105578509.0
202502,70,第70章  玻璃及其制品,495671601.0
202502,71,第71章  天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,7875854968.0
202502,72,第72章  钢铁,2541396485.0
202502,73,第73章  钢铁制品,625717120.0
202502,74,第74章  铜及其制品,5597607600.0
202502,75,第75章  镍及其制品,917698728.0
202502,76,第76章  铝及其制品,1351258069.0
202502,78,第78章  铅及其制品,20567349.0
202502,79,第79章  锌及其制品,112974550.0
202502,80,第80章  锡及其制品,74066489.0
202502,81,第81章  其他贱金属、金属陶瓷及其制品,300949368.0
202502,82,第82章  贱金属工具、器具、利口器、餐匙、餐叉及其零件,195481041.0
202502,83,第83章  贱金属杂项制品,114549338.0
202502,84,第84章  核反应堆、锅炉、机器、机械器具及零件,16963629570.0
202502,85,第85章  电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,38790993029.0
202502,86,第86章  铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,47503741.0
202502,87,第87章  车辆及其零件、附件，但铁道及电车道车辆除外,3117448741.0
202502,88,第88章  航空器、航天器及其零件,1451780917.0
202502,89,第89章  船舶及浮动结构体,185918172.0
202502,90,第90章  光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,5359346242.0
202502,91,第91章  钟表及其零件,223230573.0
202502,92,第92章  乐器及其零件、附件,19486633.0
202502,93,第93章  武器、弹药及其零件、附件,66588.0
202502,94,第94章  家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,158538604.0
202502,95,第95章  玩具、游戏品、运动用品及其零件、附件,200622850.0
202502,96,第96章  杂项制品,92159299.0
202502,97,第97章  艺术品、收藏品及古物,49816954.0
202502,98,第98章  特殊交易品及未分类商品,482608191.0
